relationship_id,source_id,relationship_type,target_id,date,source_record,confidence,properties
R0031,P016,LIVES_AT,L007,,PERSON-REG-016,0.92,{}
R0032,P016,MEMBER_OF,ORG002,,PERSON-REG-016,0.92,{}
R0033,P017,LIVES_AT,L009,,PERSON-REG-017,0.92,{}
R0034,P017,MEMBER_OF,ORG003,,PERSON-REG-017,0.92,{}
R0035,P018,LIVES_AT,L011,,PERSON-REG-018,0.92,{}
R0036,P018,MEMBER_OF,ORG004,,PERSON-REG-018,0.92,{}
R0037,P019,LIVES_AT,L013,,PERSON-REG-019,0.92,{}
R0038,P019,MEMBER_OF,ORG005,,PERSON-REG-019,0.92,{}
R0039,P020,LIVES_AT,L015,,PERSON-REG-020,0.92,{}
R0040,P020,MEMBER_OF,ORG101,,PERSON-REG-020,0.92,{}
R0041,P021,LIVES_AT,L017,,PERSON-REG-021,0.92,{}
R0042,P021,MEMBER_OF,ORG102,,PERSON-REG-021,0.92,{}
R0043,P022,LIVES_AT,L019,,PERSON-REG-022,0.92,{}
R0044,P022,MEMBER_OF,ORG001,,PERSON-REG-022,0.92,{}
R0045,P023,LIVES_AT,L021,,PERSON-REG-023,0.92,{}
R0046,P023,MEMBER_OF,ORG002,,PERSON-REG-023,0.92,{}
R0047,P024,LIVES_AT,L023,,PERSON-REG-024,0.92,{}
R0048,P024,MEMBER_OF,ORG003,,PERSON-REG-024,0.92,{}
R0049,P101,LIVES_AT,L001,,PERSON-REG-025,0.92,{}
R0050,P101,MEMBER_OF,ORG004,,PERSON-REG-025,0.92,{}
R0051,P102,LIVES_AT,L003,,PERSON-REG-026,0.92,{}
R0052,P102,MEMBER_OF,ORG005,,PERSON-REG-026,0.92,{}
R0053,P103,LIVES_AT,L005,,PERSON-REG-027,0.92,{}
R0054,P103,MEMBER_OF,ORG101,,PERSON-REG-027,0.92,{}
R0055,P104,LIVES_AT,L007,,PERSON-REG-028,0.92,{}
R0056,P104,MEMBER_OF,ORG102,,PERSON-REG-028,0.92,{}
R0057,P105,LIVES_AT,L009,,PERSON-REG-029,0.92,{}
R0058,P105,MEMBER_OF,ORG001,,PERSON-REG-029,0.92,{}
R0059,P106,LIVES_AT,L011,,PERSON-REG-030,0.92,{}
R0060,P106,MEMBER_OF,ORG002,,PERSON-REG-030,0.92,{}
R0061,P001,OWNS,PH001,,CONTACT-REG-001,0.92,{}
R0062,P002,OWNS,PH002,,CONTACT-REG-002,0.92,{}
R0063,P003,OWNS,PH003,,CONTACT-REG-003,0.92,{}
R0064,P004,OWNS,PH004,,CONTACT-REG-004,0.92,{}
R0065,P005,OWNS,PH005,,CONTACT-REG-005,0.92,{}
R0066,P006,OWNS,PH006,,CONTACT-REG-006,0.92,{}
R0067,P007,OWNS,PH007,,CONTACT-REG-007,0.92,{}
R0068,P008,OWNS,PH008,,CONTACT-REG-008,0.92,{}
R0069,P009,OWNS,PH009,,CONTACT-REG-009,0.92,{}
R0070,P010,OWNS,PH010,,CONTACT-REG-010,0.92,{}
R0071,P011,OWNS,PH011,,CONTACT-REG-011,0.92,{}
R0072,P012,OWNS,PH012,,CONTACT-REG-012,0.92,{}
R0073,P013,OWNS,PH013,,CONTACT-REG-013,0.92,{}
R0074,P014,OWNS,PH014,,CONTACT-REG-014,0.92,{}
R0075,P015,OWNS,PH015,,CONTACT-REG-015,0.92,{}
R0076,P016,OWNS,PH016,,CONTACT-REG-016,0.92,{}
R0077,P017,OWNS,PH017,,CONTACT-REG-017,0.92,{}
R0078,P018,OWNS,PH018,,CONTACT-REG-018,0.92,{}
R0079,P019,OWNS,PH019,,CONTACT-REG-019,0.92,{}
R0080,P020,OWNS,PH020,,CONTACT-REG-020,0.92,{}
R0081,P021,OWNS,PH021,,CONTACT-REG-021,0.92,{}
R0082,P022,OWNS,PH022,,CONTACT-REG-022,0.92,{}
R0083,P023,OWNS,PH023,,CONTACT-REG-023,0.92,{}
R0084,P001,OWNS,BA001,,FIN-REG-001,0.92,{}
R0085,P003,OWNS,BA002,,FIN-REG-002,0.92,{}
R0086,P005,OWNS,BA003,,FIN-REG-003,0.92,{}
R0087,P007,OWNS,BA004,,FIN-REG-004,0.92,{}
R0088,P009,OWNS,BA005,,FIN-REG-005,0.92,{}
R0089,P011,OWNS,BA006,,FIN-REG-006,0.92,{}
R0090,P013,OWNS,BA007,,FIN-REG-007,0.92,{}
R0091,P015,OWNS,BA008,,FIN-REG-008,0.92,{}
R0092,P017,OWNS,BA009,,FIN-REG-009,0.92,{}
R0093,P019,OWNS,BA010,,FIN-REG-010,0.92,{}
R0094,P021,OWNS,BA011,,FIN-REG-011,0.92,{}
R0095,P023,OWNS,BA012,,FIN-REG-012,0.92,{}
R0096,P101,OWNS,BA013,,FIN-REG-013,0.92,{}
R0097,P103,OWNS,BA014,,FIN-REG-014,0.92,{}
R0098,P105,OWNS,BA015,,FIN-REG-015,0.92,{}
R0099,P001,OWNS,BA016,,FIN-REG-016,0.92,{}
R0100,P003,OWNS,BA017,,FIN-REG-017,0.92,{}
R0101,P001,REGISTERED_TO,V001,,VEHICLE-REG-001,0.92,{}
R0102,V001,LOCATED_AT,L001,,VEHICLE-REG-001,0.92,{}
R0103,P002,REGISTERED_TO,V002,,VEHICLE-REG-002,0.92,{}
R0104,V002,LOCATED_AT,L004,,VEHICLE-REG-002,0.92,{}
R0105,P003,REGISTERED_TO,V003,,VEHICLE-REG-003,0.92,{}
R0106,V003,LOCATED_AT,L007,,VEHICLE-REG-003,0.92,{}
R0107,P004,REGISTERED_TO,V004,,VEHICLE-REG-004,0.92,{}
R0108,V004,LOCATED_AT,L010,,VEHICLE-REG-004,0.92,{}
R0109,P005,REGISTERED_TO,V005,,VEHICLE-REG-005,0.92,{}
R0110,V005,LOCATED_AT,L013,,VEHICLE-REG-005,0.92,{}
R0111,P006,REGISTERED_TO,V006,,VEHICLE-REG-006,0.92,{}
R0112,V006,LOCATED_AT,L016,,VEHICLE-REG-006,0.92,{}
R0113,P007,REGISTERED_TO,V007,,VEHICLE-REG-007,0.92,{}
R0114,V007,LOCATED_AT,L019,,VEHICLE-REG-007,0.92,{}
R0115,P008,REGISTERED_TO,V008,,VEHICLE-REG-008,0.92,{}
R0116,V008,LOCATED_AT,L022,,VEHICLE-REG-008,0.92,{}
R0117,P009,REGISTERED_TO,V009,,VEHICLE-REG-009,0.92,{}
R0118,V009,LOCATED_AT,L001,,VEHICLE-REG-009,0.92,{}
R0119,P010,REGISTERED_TO,V010,,VEHICLE-REG-010,0.92,{}
R0120,V010,LOCATED_AT,L004,,VEHICLE-REG-010,0.92,{}
R0121,P011,REGISTERED_TO,V101,,VEHICLE-REG-011,0.92,{}
R0122,V101,LOCATED_AT,L007,,VEHICLE-REG-011,0.92,{}
R0123,P012,REGISTERED_TO,V102,,VEHICLE-REG-012,0.92,{}
R0124,V102,LOCATED_AT,L010,,VEHICLE-REG-012,0.92,{}
R0125,P013,REGISTERED_TO,V103,,VEHICLE-REG-013,0.92,{}
R0126,V103,LOCATED_AT,L013,,VEHICLE-REG-013,0.92,{}
R0127,ORG001,LOCATED_AT,L003,,ORG-REG-001,0.92,{}
R0128,ORG002,LOCATED_AT,L009,,ORG-REG-002,0.92,{}
R0129,ORG003,LOCATED_AT,L011,,ORG-REG-003,0.92,{}
R0130,ORG004,LOCATED_AT,L018,,ORG-REG-004,0.92,{}
R0131,ORG005,LOCATED_AT,L004,,ORG-REG-005,0.92,{}
R0132,ORG101,LOCATED_AT,L020,,ORG-REG-006,0.92,{}
R0133,ORG102,LOCATED_AT,L022,,ORG-REG-007,0.92,{}
R0134,C001,LOCATED_AT,L004,,CASE-REG-001,0.92,{}
R0135,P003,INVOLVED_IN,C001,,CASE-REG-001,0.92,{}
R0136,P006,INVOLVED_IN,C001,,CASE-REG-001,0.92,{}
R0137,P010,INVOLVED_IN,C001,,CASE-REG-001,0.92,{}
R0138,C002,LOCATED_AT,L007,,CASE-REG-002,0.92,{}
R0139,P005,INVOLVED_IN,C002,,CASE-REG-002,0.92,{}
R0140,P008,INVOLVED_IN,C002,,CASE-REG-002,0.92,{}
R0141,P012,INVOLVED_IN,C002,,CASE-REG-002,0.92,{}
R0142,C003,LOCATED_AT,L010,,CASE-REG-003,0.92,{}
R0143,P007,INVOLVED_IN,C003,,CASE-REG-003,0.92,{}
R0144,P010,INVOLVED_IN,C003,,CASE-REG-003,0.92,{}
R0145,P014,INVOLVED_IN,C003,,CASE-REG-003,0.92,{}
R0146,C004,LOCATED_AT,L013,,CASE-REG-004,0.92,{}
R0147,P009,INVOLVED_IN,C004,,CASE-REG-004,0.92,{}
R0148,P012,INVOLVED_IN,C004,,CASE-REG-004,0.92,{}
R0149,P016,INVOLVED_IN,C004,,CASE-REG-004,0.92,{}
R0150,C005,LOCATED_AT,L016,,CASE-REG-005,0.92,{}
R0151,P011,INVOLVED_IN,C005,,CASE-REG-005,0.92,{}
R0152,P014,INVOLVED_IN,C005,,CASE-REG-005,0.92,{}
R0153,P018,INVOLVED_IN,C005,,CASE-REG-005,0.92,{}
R0154,C006,LOCATED_AT,L019,,CASE-REG-006,0.92,{}
R0155,P013,INVOLVED_IN,C006,,CASE-REG-006,0.92,{}
R0156,P016,INVOLVED_IN,C006,,CASE-REG-006,0.92,{}
R0157,P020,INVOLVED_IN,C006,,CASE-REG-006,0.92,{}
R0158,C007,LOCATED_AT,L022,,CASE-REG-007,0.92,{}
R0159,P015,INVOLVED_IN,C007,,CASE-REG-007,0.92,{}
R0160,P018,INVOLVED_IN,C007,,CASE-REG-007,0.92,{}
R0161,P022,INVOLVED_IN,C007,,CASE-REG-007,0.92,{}
R0162,C008,LOCATED_AT,L001,,CASE-REG-008,0.92,{}
R0163,P017,INVOLVED_IN,C008,,CASE-REG-008,0.92,{}
R0164,P020,INVOLVED_IN,C008,,CASE-REG-008,0.92,{}
R0165,P024,INVOLVED_IN,C008,,CASE-REG-008,0.92,{}
R0166,C009,LOCATED_AT,L004,,CASE-REG-009,0.92,{}
R0167,P019,INVOLVED_IN,C009,,CASE-REG-009,0.92,{}
R0168,P022,INVOLVED_IN,C009,,CASE-REG-009,0.92,{}
R0169,P102,INVOLVED_IN,C009,,CASE-REG-009,0.92,{}
R0170,C010,LOCATED_AT,L007,,CASE-REG-010,0.92,{}
R0171,P021,INVOLVED_IN,C010,,CASE-REG-010,0.92,{}
R0172,P024,INVOLVED_IN,C010,,CASE-REG-010,0.92,{}
R0173,P104,INVOLVED_IN,C010,,CASE-REG-010,0.92,{}
R0174,C011,LOCATED_AT,L010,,CASE-REG-011,0.92,{}
R0175,P023,INVOLVED_IN,C011,,CASE-REG-011,0.92,{}
R0176,P102,INVOLVED_IN,C011,,CASE-REG-011,0.92,{}
R0177,P106,INVOLVED_IN,C011,,CASE-REG-011,0.92,{}
R0178,C012,LOCATED_AT,L013,,CASE-REG-012,0.92,{}
R0179,P101,INVOLVED_IN,C012,,CASE-REG-012,0.92,{}
R0180,P104,INVOLVED_IN,C012,,CASE-REG-012,0.92,{}
R0181,P002,INVOLVED_IN,C012,,CASE-REG-012,0.92,{}
R0182,C013,LOCATED_AT,L016,,CASE-REG-013,0.92,{}
R0183,P103,INVOLVED_IN,C013,,CASE-REG-013,0.92,{}
R0184,P106,INVOLVED_IN,C013,,CASE-REG-013,0.92,{}
R0185,P004,INVOLVED_IN,C013,,CASE-REG-013,0.92,{}
R0186,C014,LOCATED_AT,L019,,CASE-REG-014,0.92,{}
R0187,P105,INVOLVED_IN,C014,,CASE-REG-014,0.92,{}
R0188,P002,INVOLVED_IN,C014,,CASE-REG-014,0.92,{}
R0189,P006,INVOLVED_IN,C014,,CASE-REG-014,0.92,{}
R0190,C015,LOCATED_AT,L022,,CASE-REG-015,0.92,{}
R0191,P001,INVOLVED_IN,C015,,CASE-REG-015,0.92,{}
R0192,P004,INVOLVED_IN,C015,,CASE-REG-015,0.92,{}
R0193,P008,INVOLVED_IN,C015,,CASE-REG-015,0.92,{}
R0194,C016,LOCATED_AT,L001,,CASE-REG-016,0.92,{}
R0195,P003,INVOLVED_IN,C016,,CASE-REG-016,0.92,{}
R0196,P006,INVOLVED_IN,C016,,CASE-REG-016,0.92,{}
R0197,P010,INVOLVED_IN,C016,,CASE-REG-016,0.92,{}
R0198,C017,LOCATED_AT,L004,,CASE-REG-017,0.92,{}
R0199,P005,INVOLVED_IN,C017,,CASE-REG-017,0.92,{}
R0200,P008,INVOLVED_IN,C017,,CASE-REG-017,0.92,{}
R0201,P012,INVOLVED_IN,C017,,CASE-REG-017,0.92,{}
R0202,C018,LOCATED_AT,L007,,CASE-REG-018,0.92,{}
R0203,P007,INVOLVED_IN,C018,,CASE-REG-018,0.92,{}
R0204,P010,INVOLVED_IN,C018,,CASE-REG-018,0.92,{}
R0205,P014,INVOLVED_IN,C018,,CASE-REG-018,0.92,{}
