relationship_id,source_id,relationship_type,target_id,date,source_record,confidence,properties
R044,P015,ASSOCIATED_WITH,P012,,C027,0.95,{}
R045,P015,USED,PH009,,C027,0.95,{}
R046,P002,ASSOCIATED_WITH,P003,,C028,0.95,{}
R047,P002,USED,PH010,,C028,0.95,{}
R048,P016,ASSOCIATED_WITH,P008,,C029,0.95,{}
R049,P016,USED,PH011,,C029,0.95,{}
R050,P012,CALLED,P020,,C030,0.95,{}
R051,P012,USED,PH012,,C030,0.95,{}
R052,P003,ASSOCIATED_WITH,P024,,C031,0.95,{}
R053,P003,USED,PH013,,C031,0.95,{}
R054,P008,ASSOCIATED_WITH,P011,,C032,0.95,{}
R055,P008,USED,PH014,,C032,0.95,{}
R056,P020,ASSOCIATED_WITH,P001,,C033,0.95,{}
R057,P020,USED,PH015,,C033,0.95,{}
R058,P024,CALLED,P014,,C034,0.95,{}
R059,P024,USED,PH001,,C034,0.95,{}
R060,P011,ASSOCIATED_WITH,P010,,C035,0.95,{}
R061,P011,USED,PH002,,C035,0.95,{}
R062,P001,ASSOCIATED_WITH,P005,,C036,0.95,{}
R063,P001,USED,PH003,,C036,0.95,{}
R064,P014,ASSOCIATED_WITH,P019,,C037,0.95,{}
R065,P014,USED,PH004,,C037,0.95,{}
R066,P010,CALLED,P004,,C038,0.95,{}
R067,P010,USED,PH005,,C038,0.95,{}
R068,P005,ASSOCIATED_WITH,P018,,C039,0.95,{}
R069,P005,USED,PH006,,C039,0.95,{}
R070,P019,ASSOCIATED_WITH,P009,,C040,0.95,{}
R071,P019,USED,PH007,,C040,0.95,{}
R072,P004,ASSOCIATED_WITH,P023,,C041,0.95,{}
R073,P004,USED,PH008,,C041,0.95,{}
R074,P018,CALLED,P007,,C042,0.95,{}
R075,P018,USED,PH009,,C042,0.95,{}
R076,P009,ASSOCIATED_WITH,P013,,C043,0.95,{}
R077,P009,USED,PH010,,C043,0.95,{}
R078,P023,ASSOCIATED_WITH,P022,,C044,0.95,{}
R079,P023,USED,PH011,,C044,0.95,{}
R080,P007,ASSOCIATED_WITH,P006,,C045,0.95,{}
R081,P007,USED,PH012,,C045,0.95,{}
R082,P013,CALLED,P017,,C046,0.95,{}
R083,P013,USED,PH013,,C046,0.95,{}
R084,P022,ASSOCIATED_WITH,P021,,C047,0.95,{}
R085,P022,USED,PH014,,C047,0.95,{}
R086,P006,ASSOCIATED_WITH,P015,,C048,0.95,{}
R087,P006,USED,PH015,,C048,0.95,{}
R088,P019,ASSOCIATED_WITH,P004,,C063,0.95,{}
R089,P004,ASSOCIATED_WITH,P018,,C064,0.95,{}
R090,P018,ASSOCIATED_WITH,P009,,C065,0.95,{}
R091,P009,ASSOCIATED_WITH,P023,,C066,0.95,{}
R092,P023,ASSOCIATED_WITH,P007,,C067,0.95,{}
R093,P007,ASSOCIATED_WITH,P013,,C068,0.95,{}
R094,P013,ASSOCIATED_WITH,P022,,C069,0.95,{}
R095,P022,ASSOCIATED_WITH,P006,,C070,0.95,{}
R096,P006,ASSOCIATED_WITH,P017,,C071,0.95,{}
R097,P017,ASSOCIATED_WITH,P015,,C072,0.95,{}
R098,P021,ASSOCIATED_WITH,P002,,C073,0.95,{}
R099,P002,ASSOCIATED_WITH,P016,,C074,0.95,{}
R100,P015,ASSOCIATED_WITH,P012,,C075,0.95,{}
R101,P016,ASSOCIATED_WITH,P003,,C076,0.95,{}
R102,P012,ASSOCIATED_WITH,P008,,C077,0.95,{}
R103,P003,ASSOCIATED_WITH,P020,,C078,0.95,{}
R104,P008,ASSOCIATED_WITH,P024,,C079,0.95,{}
R105,P020,ASSOCIATED_WITH,P011,,C080,0.95,{}
R106,P017,OWNS,V008,,C001,0.95,{}
R107,P002,OWNS,V002,,C002,0.95,{}
R108,P015,OWNS,V003,,C003,0.95,{}
R109,P016,OWNS,V010,,C005,0.95,{}
R110,P012,OWNS,V001,,C006,0.95,{}
R111,P003,OWNS,V005,,C007,0.95,{}
R112,P020,OWNS,V006,,C009,0.95,{}
R113,P024,OWNS,V002,,C010,0.95,{}
R114,P011,OWNS,V009,,C011,0.95,{}
R115,P014,OWNS,V004,,C013,0.95,{}
R116,P010,OWNS,V010,,C014,0.95,{}
R117,P005,OWNS,V008,,C015,0.95,{}
R118,P005,OWNS,V007,,C015,0.95,{}
R119,P004,OWNS,V001,,C017,0.95,{}
R120,P018,OWNS,V002,,C018,0.95,{}
R121,P023,OWNS,V003,,C020,0.95,{}
R122,P007,OWNS,V009,,C021,0.95,{}
R123,P006,OWNS,V005,,C024,0.95,{}
